Entity,Code,Year,"Indicator 3.b.1: Geometric mean of the coverage of eight vaccines, conditional on inclusion in national vaccine schedules, in target populations (%) - Past - Unscaled (%)"
Myanmar,MMR,2000,89.213
Myanmar,MMR,2005,92.885
Myanmar,MMR,2010,95.585
Myanmar,MMR,2016,97.202
Namibia,NAM,1990,71.677
Namibia,NAM,1995,77.062
Namibia,NAM,2000,74.833
Namibia,NAM,2005,79.746
Namibia,NAM,2010,85.341
Namibia,NAM,2016,87.494
Nepal,NPL,1990,61.159
Nepal,NPL,1995,73.409
Nepal,NPL,2000,78.279
Nepal,NPL,2005,77.867
Nepal,NPL,2010,84.804
Nepal,NPL,2016,89.044
Netherlands,NLD,1990,95.937
Netherlands,NLD,1995,96.389
Netherlands,NLD,2000,96.023
Netherlands,NLD,2005,96.305
Netherlands,NLD,2010,96.405
Netherlands,NLD,2016,91.015
New Zealand,NZL,1990,76.23
New Zealand,NZL,1995,84.829
New Zealand,NZL,2000,86.555
New Zealand,NZL,2005,88.333
New Zealand,NZL,2010,91.564
New Zealand,NZL,2016,94.131
Nicaragua,NIC,1990,83.278
Nicaragua,NIC,1995,90.244
Nicaragua,NIC,2000,93.677
Nicaragua,NIC,2005,94.763
Nicaragua,NIC,2010,97.399
Nicaragua,NIC,2016,98.721
Niger,NER,1990,28.234
Niger,NER,1995,37.085
Niger,NER,2000,41.302
Niger,NER,2005,66.319
Niger,NER,2010,79.164
Niger,NER,2016,82.788
Nigeria,NGA,1990,34.018
Nigeria,NGA,1995,32.248
Nigeria,NGA,2000,32.525
Nigeria,NGA,2005,41.981
Nigeria,NGA,2010,48.948
Nigeria,NGA,2016,52.927
North Korea,PRK,1990,90.323
North Korea,PRK,1995,96.461
North Korea,PRK,2000,92.853
North Korea,PRK,2005,95.518
North Korea,PRK,2010,98.148
North Korea,PRK,2016,99.021
Norway,NOR,1990,89.688
Norway,NOR,1995,93.641
Norway,NOR,2000,91.8
Norway,NOR,2005,92.544
Norway,NOR,2010,93.408
Norway,NOR,2016,95.455
Oman,OMN,1990,98.22
Oman,OMN,1995,99.555
Oman,OMN,2000,99.771
Oman,OMN,2005,99.801
Oman,OMN,2010,99.797
Oman,OMN,2016,99.9
Pakistan,PAK,1990,66.882
Pakistan,PAK,1995,69.104
Pakistan,PAK,2000,74.008
Pakistan,PAK,2005,75.76
Pakistan,PAK,2010,77.217
Pakistan,PAK,2016,75.629
Palestine,PSE,1990,95.78
Palestine,PSE,1995,97.364
Palestine,PSE,2000,96.697
Palestine,PSE,2005,95.885
Palestine,PSE,2010,95.868
Palestine,PSE,2016,97.091
Panama,PAN,1990,77.402
Panama,PAN,1995,86.083
Panama,PAN,2000,88.841
Panama,PAN,2005,83.46
Panama,PAN,2010,79.912
Panama,PAN,2016,83.65
Papua New Guinea,PNG,1990,65.185
Papua New Guinea,PNG,1995,57.378
Papua New Guinea,PNG,2000,61.312
Papua New Guinea,PNG,2005,65.127
Papua New Guinea,PNG,2010,68.903
Papua New Guinea,PNG,2016,66.444
Paraguay,PRY,1990,75.795
Paraguay,PRY,1995,83.249
Paraguay,PRY,2000,85.711
Paraguay,PRY,2005,82.545
Paraguay,PRY,2010,78.835
Paraguay,PRY,2016,81.021
Peru,PER,1990,72.152
Peru,PER,1995,83.397
Peru,PER,2000,92.718
Peru,PER,2005,92.77
Peru,PER,2010,85.662
Peru,PER,2016,96.065
Philippines,PHL,1990,84.199
Philippines,PHL,1995,66.481
Philippines,PHL,2000,74.247
Philippines,PHL,2005,84.373
Philippines,PHL,2010,86.966
Philippines,PHL,2016,85.96
Poland,POL,1990,95.119
Poland,POL,1995,95.987
Poland,POL,2000,96.636
Poland,POL,2005,96.844
Poland,POL,2010,96.308
Poland,POL,2016,97.502
Portugal,PRT,1990,87.552
Portugal,PRT,1995,93.716
Portugal,PRT,2000,92.557
Portugal,PRT,2005,95.51
Portugal,PRT,2010,95.847
Portugal,PRT,2016,95.139
