Entity,Code,Year,p90 of income/consumption distribution ((international-$ per day)),p10 of income/consumption distribution ((international-$ per day))
El Salvador (inc),,2007,20.884453,2.6407459
El Salvador (inc),,2008,20.222549,2.2766254
El Salvador (inc),,2009,19.799122,2.331975
El Salvador (inc),,2010,18.77154,2.4278786
El Salvador (inc),,2011,18.215729,2.5669477
El Salvador (inc),,2012,18.817287,2.6984987
El Salvador (inc),,2013,21.159801,2.9181714
El Salvador (inc),,2014,20.138966,2.9616776
El Salvador (inc),,2015,20.636835,3.2436011
El Salvador (inc),,2016,20.464546,3.1531851
Estonia (cons),,1995,15.655659,3.8898091
Estonia (cons),,1998,23.14604,4.5333776
Estonia (cons),,2000,20.509886,3.7990923
Estonia (cons),,2001,20.006905,3.7575233
Estonia (cons),,2002,20.236179,3.8048265
Estonia (cons),,2003,20.336081,3.7728932
Estonia (cons),,2004,23.606836,4.4343963
Estonia (inc),,1993,22.393127,3.6917853
Estonia (inc),,2003,26.982328,3.9386554
Estonia (inc),,2004,28.032391,5.1147447
Estonia (inc),,2005,32.626823,6.231946
Estonia (inc),,2006,38.495022,7.4590979
Estonia (inc),,2007,40.858471,8.9425163
Estonia (inc),,2008,43.115246,9.0186338
Estonia (inc),,2009,40.141399,8.2729712
Estonia (inc),,2010,37.606247,7.1498904
Estonia (inc),,2011,39.398537,7.5564141
Estonia (inc),,2012,42.052029,8.0171165
Estonia (inc),,2013,47.119247,7.9986086
Estonia (inc),,2014,50.585247,8.7986259
Estonia (inc),,2015,52.020702,10.374958
Eswatini (cons),,1995,3.4828525,0.20597821
Eswatini (cons),,2001,8.1957932,0.93235832
Eswatini (cons),,2009,8.4837246,0.82212645
Ethiopia (Rural) (cons),,1981,3.5023606,0.84472084
Ethiopia (cons),,1995,4.7090478,0.74435711
Ethiopia (cons),,2000,3.9012306,1.0154421
Ethiopia (cons),,2005,4.931488,1.3386154
Ethiopia (cons),,2011,5.4607062,1.1707332
Ethiopia (cons),,2016,7.3899264,1.2622778
Fiji (cons),,2003,13.488593,2.4468482
Fiji (cons),,2009,15.767125,2.7085497
Fiji (cons),,2013,14.723973,3.0057552
Finland (inc),,2003,71.100624,19.599819
Finland (inc),,2004,74.917755,20.719202
Finland (inc),,2005,76.77047,21.637211
Finland (inc),,2006,77.989784,21.294235
Finland (inc),,2007,81.492508,21.893093
Finland (inc),,2008,81.743721,22.094852
Finland (inc),,2009,82.599678,22.819529
Finland (inc),,2010,83.736206,22.811111
Finland (inc),,2011,84.654388,23.143097
Finland (inc),,2012,83.85688,23.595781
Finland (inc),,2013,83.46875,23.20632
Finland (inc),,2014,82.512535,23.43079
Finland (inc),,2015,84.090019,23.5455
France (inc),,2003,77.892387,17.990406
France (inc),,2004,78.023972,18.966866
France (inc),,2005,76.127457,18.82653
France (inc),,2006,74.333923,18.439484
France (inc),,2007,95.767456,21.589195
France (inc),,2008,97.415588,21.340683
France (inc),,2009,97.183655,20.633144
France (inc),,2010,99.489708,20.778414
France (inc),,2011,99.687546,21.111744
France (inc),,2012,98.695847,21.09655
France (inc),,2013,96.839218,21.329899
France (inc),,2014,97.342491,21.685675
France (inc),,2015,99.67794,21.34396
