Entity,Code,Year,Fossil fuels (%)
Sri Lanka,LKA,2011,11.944126838897473
Sri Lanka,LKA,2012,6.672371767238405
Sri Lanka,LKA,2013,-13.761236373745312
Sri Lanka,LKA,2014,-2.064320642379669
Sri Lanka,LKA,2015,26.32847079288192
Sri Lanka,LKA,2016,14.955350730507133
Sri Lanka,LKA,2017,6.68792456419065
Sri Lanka,LKA,2018,-4.162771116554909
Sweden,SWE,1966,11.253281075193321
Sweden,SWE,1967,-0.3726936211135512
Sweden,SWE,1968,10.880081118465569
Sweden,SWE,1969,6.461479375619805
Sweden,SWE,1970,8.613205310980042
Sweden,SWE,1971,-6.198047519436556
Sweden,SWE,1972,1.6634407903932669
Sweden,SWE,1973,2.6303825843314588
Sweden,SWE,1974,-9.081616780109858
Sweden,SWE,1975,0.25101778483422876
Sweden,SWE,1976,9.269143780577416
Sweden,SWE,1977,-4.113283753174157
Sweden,SWE,1978,19.784610644908906
Sweden,SWE,1979,8.11035157182005
Sweden,SWE,1980,-11.416584246702232
Sweden,SWE,1981,-10.257398151510522
Sweden,SWE,1982,-6.14101115465343
Sweden,SWE,1983,-10.84988775613498
Sweden,SWE,1984,-2.4030636360016677
Sweden,SWE,1985,8.63027351756147
Sweden,SWE,1986,7.162848299349944
Sweden,SWE,1987,-11.925401966206127
Sweden,SWE,1988,-5.290055894358947
Sweden,SWE,1989,-3.134520729871193
Sweden,SWE,1990,0.15149904024933658
Sweden,SWE,1991,-11.85513478799447
Sweden,SWE,1992,3.828200096958456
Sweden,SWE,1993,-0.9140940399035458
Sweden,SWE,1994,5.097923860133147
Sweden,SWE,1995,-4.120446218450935
Sweden,SWE,1996,7.452431276052085
Sweden,SWE,1997,-7.113978335566329
Sweden,SWE,1998,10.783645225992199
Sweden,SWE,1999,-3.826882201117554
Sweden,SWE,2000,-11.608662178010176
Sweden,SWE,2001,3.012317665658193
Sweden,SWE,2002,2.352869587768369
Sweden,SWE,2003,5.534402562962604
Sweden,SWE,2004,-3.1516057881250115
Sweden,SWE,2005,-0.7547900068945679
Sweden,SWE,2006,1.8665406501258142
Sweden,SWE,2007,-2.1483100848928127
Sweden,SWE,2008,-4.654462797261361
Sweden,SWE,2009,-6.354388733473537
Sweden,SWE,2010,6.596219425408312
Sweden,SWE,2011,-7.859384090370003
Sweden,SWE,2012,-3.2361673100780863
Sweden,SWE,2013,-1.0962020763356395
Sweden,SWE,2014,-2.031560379331554
Sweden,SWE,2015,-0.4729156881016494
Sweden,SWE,2016,4.55785890369782
Sweden,SWE,2017,-0.3806738446970215
Sweden,SWE,2018,-3.020934475473447
