Entity,Code,Year,Drinking water - Proportion of population using improved water supplies - Safely managed - National - Percent (%)
Ethiopia,ETH,2012,8.895721758869419
Ethiopia,ETH,2013,9.418053990177082
Ethiopia,ETH,2014,9.964997581619887
Ethiopia,ETH,2015,10.53542266725477
Finland,FIN,2000,91.97216735201687
Finland,FIN,2001,92.6442508171483
Finland,FIN,2002,93.31633428227997
Finland,FIN,2003,93.9884177474114
Finland,FIN,2004,94.66050121254284
Finland,FIN,2005,95.33258467767428
Finland,FIN,2006,96.00466814280571
Finland,FIN,2007,96.67675160793738
Finland,FIN,2008,97.34883507306881
Finland,FIN,2009,98.02091853820025
Finland,FIN,2010,98.0723914285714
Finland,FIN,2011,97.76909828571421
Finland,FIN,2012,97.46472399999998
Finland,FIN,2013,97.15924799999995
Finland,FIN,2014,96.8526577142857
Finland,FIN,2015,96.85099914285712
France,FRA,2000,93.23399995454547
France,FRA,2001,93.24177775000001
France,FRA,2002,93.24938727272726
France,FRA,2003,93.25682672727274
France,FRA,2004,93.26409713636363
France,FRA,2005,93.27120886363636
France,FRA,2006,93.27815218181819
France,FRA,2007,93.28493847727273
France,FRA,2008,93.29156254545454
France,FRA,2009,93.29802540909091
France,FRA,2010,93.30433772727272
France,FRA,2011,93.31048709090909
France,FRA,2012,93.31649
France,FRA,2013,93.31519750000001
France,FRA,2014,93.31391049999999
France,FRA,2015,93.31264
Georgia,GEO,2000,73.90072794444899
Georgia,GEO,2001,74.14553251756585
Georgia,GEO,2002,74.40400117001845
Georgia,GEO,2003,74.67660279649002
Georgia,GEO,2004,75.33295608718493
Georgia,GEO,2005,75.99155191030565
Georgia,GEO,2006,76.2797151601961
Georgia,GEO,2007,75.61839947892761
Georgia,GEO,2008,74.94997622408337
Georgia,GEO,2009,74.27692697847046
Georgia,GEO,2010,73.59853955266698
Georgia,GEO,2011,72.91219177870204
Georgia,GEO,2012,72.21784574807842
Georgia,GEO,2013,72.46969004354172
Georgia,GEO,2014,72.72060480977026
Georgia,GEO,2015,72.97048242736446
Germany,DEU,2000,99.35000000000001
Germany,DEU,2001,99.35000000000001
Germany,DEU,2002,99.35000000000004
Germany,DEU,2003,99.35000000000001
Germany,DEU,2004,99.35000000000001
Germany,DEU,2005,99.35000000000001
Germany,DEU,2006,99.35000000000001
Germany,DEU,2007,99.35000000000001
Germany,DEU,2008,99.35
Germany,DEU,2009,99.35000000000001
Germany,DEU,2010,99.35
Germany,DEU,2011,99.35000000000001
Germany,DEU,2012,99.32468800000001
Germany,DEU,2013,99.269868
Germany,DEU,2014,99.2151316
Germany,DEU,2015,99.21542140000001
Ghana,GHA,2000,15.8068763336248
Ghana,GHA,2001,16.12565279674438
Ghana,GHA,2002,16.81211364431344
Ghana,GHA,2003,17.512003822006
Ghana,GHA,2004,18.22558575651915
Ghana,GHA,2005,18.9514374879345
Ghana,GHA,2006,19.6904819952095
Ghana,GHA,2007,20.44229773828823
Ghana,GHA,2008,21.20679895422673
Ghana,GHA,2009,21.98283993689631
Ghana,GHA,2010,22.77173078470518
Ghana,GHA,2011,23.57231577695937
Ghana,GHA,2012,24.38267435753632
Ghana,GHA,2013,25.20155545601272
Ghana,GHA,2014,26.02878007556554
Ghana,GHA,2015,26.86491628257565
Gibraltar,GIB,2000,99.05225747005397
Gibraltar,GIB,2001,99.05225747005397
Gibraltar,GIB,2002,99.05225747005397
Gibraltar,GIB,2003,99.05225747005397
Gibraltar,GIB,2004,99.05225747005397
Gibraltar,GIB,2005,99.05225747005397
Gibraltar,GIB,2006,99.05225747005397
Gibraltar,GIB,2007,99.05225747005397
Gibraltar,GIB,2008,99.05225747005397
Gibraltar,GIB,2009,99.05225747005397
Gibraltar,GIB,2010,99.05225747005397
Gibraltar,GIB,2011,99.05225747005397
Gibraltar,GIB,2012,99.05225747005397
Gibraltar,GIB,2013,99.05225747005397
Gibraltar,GIB,2014,99.05225747005397
Gibraltar,GIB,2015,99.05225747005397
Greece,GRC,2000,98.53906344350578
Greece,GRC,2001,98.57814003141115
Greece,GRC,2002,98.62365696629395
Greece,GRC,2003,98.66662539877257
Greece,GRC,2004,98.70714556988067
Greece,GRC,2005,98.74514296039109
Greece,GRC,2006,98.78068811359037
Greece,GRC,2007,98.8138388653639
Greece,GRC,2008,98.84462006455493
Greece,GRC,2009,98.87302255789652
Greece,GRC,2010,98.89910442758199
Greece,GRC,2011,98.92291099128875
Greece,GRC,2012,98.94444524857185
Greece,GRC,2013,98.92006242875182
